用户头像,用户名,用户年龄,内容,好笑个数,评论个数
//pic.qiushibaike.com/system/avtnew/1631/16316387/thumb/20180713125122.jpg?imageView2/1/w/90/h/90,大明湖畔·鄧小丹,23,多年前的某个下午，是我最不愿意想起的一段经历！,549,8
//pic.qiushibaike.com/system/avtnew/3707/37076223/thumb/20180228125455.JPEG?imageView2/1/w/90/h/90,苏云琪,29,儿子刚上幼儿园小班的那会儿，别的小朋友都是哭哭啼啼的，女老师哄不好，竟然自己哭了。,1014,21
//pic.qiushibaike.com/system/avtnew/3899/38997557/thumb/2018062513172425.JPEG?imageView2/1/w/90/h/90,陈群秀,16,我只想暴富，暴富，暴富!暴瘦瘦瘦!还有……,61,0
//pic.qiushibaike.com/system/avtnew/3278/32785113/thumb/2016101020504065.JPEG?imageView2/1/w/90/h/90,请给我叫二半吊子,0,现在是2018年7月19日0点58我活了44年，现在才知道什么是蛋疼,252,6
//pic.qiushibaike.com/system/avtnew/2574/25747706/thumb/20151124183945.jpg?imageView2/1/w/90/h/90,美的选择，趁年轻,28,生活，让我变成了个全能型人才，干着工作，兼职着微商，幸好一切还不错，社会让我明白，一切靠自己，尤其是女人不要想着自己是女的，找个好男人嫁了就行，没有自己的事业，不会挣，只会花，男人可以一时宠爱你，时间久了你觉得还会吗，事业不管大小，一定要有，接触外面的世界，让自己更丰富吧，我的一个好闺密，希望你能看见，！,408,49
//pic.qiushibaike.com/system/avtnew/3845/38452876/thumb/20180512145235.JPEG?imageView2/1/w/90/h/90,李行道,40,敷衍。。。,2303,69
//pic.qiushibaike.com/system/avtnew/3768/37686981/thumb/20180515122031.JPEG?imageView2/1/w/90/h/90,动物自有真情在,23,转:我跟老公都是再婚，婚前各有一儿子随前任生活，婚后我们又再生了一个儿子，假期两个孩子都过来玩，中午决定出去吃饭，我就让老公带着两个大的一个小的先下楼，我把家里的东西收拾一下再下去，结果不到五分钟，老公的电话就来了，接通后他气急败坏地说：你赶快下来，你的儿子跟我的儿子正联手欺负咱们的儿子。,720,14
//pic.qiushibaike.com/system/avtnew/224/2248528/thumb/20180530111634.JPEG?imageView2/1/w/90/h/90,诗与胡说…,26,大早上笑出猪叫！！！,247,2
//pic.qiushibaike.com/system/avtnew/3919/39197706/thumb/20180719080049.jpg?imageView2/1/w/90/h/90,赵阳童鞋,26,90后送快递的我们都老了[大哭][大哭][大哭]。我的东西回不来了[狂躁][狂躁]我得快递啊。。,253,1
//pic.qiushibaike.com/system/avtnew/1398/13985716/thumb/20150305165006.jpg?imageView2/1/w/90/h/90,御竹公子,28,赞同的都顶起来,142,5
//pic.qiushibaike.com/system/avtnew/2521/25216936/thumb/20180505200812.JPEG?imageView2/1/w/90/h/90,狸土豆大人,99,单位发了绿茶包，看着不太好，平时就摆放在鞋子里去味道的。。。看到男友用绿茶包泡水，喝的津津有味，问他：“好喝吗？” 男友：“还行，绿茶败火。”  郑重其事的告诉男友：“以后别喝这个了，回头给你买点好的！”  男友一脸疑惑的端起杯子又喝了一口…,1040,24
//pic.qiushibaike.com/system/avtnew/3371/33712263/thumb/2018070320212887.JPEG?imageView2/1/w/90/h/90,偷惢,18,杀鸡儆猴最成功的一次,663,5
//static.qiushibaike.com/images/thumb/anony.png?v=b61e7f5162d14b7c0d5f419cd6649c87,匿名用户,没有年龄,出去吃混沌，门口有个喇叭一直在喊“美团饿了么，什么什么就上美团饿了么”那种，就是推荐用美图饿了么这些外卖平台那种喇叭。然后啊，我那智障室友问我“你说为什么这么多人关心美团饿了吗？”,238,4
//pic.qiushibaike.com/system/avtnew/1458/14588028/thumb/20141210115153.jpg?imageView2/1/w/90/h/90,调皮的小汪汪,25,这个标语！！！,145,1
//pic.qiushibaike.com/system/avtnew/2242/22421085/thumb/20141116212040.jpg?imageView2/1/w/90/h/90,生活总有美好、,26,陪领导吃饭、饭店服务员长大真不赖、领导看上了说：五百、把电话要来！然后我拿着五百块去跟服务员搭讪：美女、二百买你个电话号吧？女：我都看见了那人给了你五百、三百成交！我：最多咱俩每人二百五！多一块都不给！女：你才二百五呢！说完去给我领导倒茶了、最后我一毛也没装裤兜、,183,8
//pic.qiushibaike.com/system/avtnew/2799/27990908/thumb/20180718131400.jpg?imageView2/1/w/90/h/90,(糗名昭著)~魅儿…,28,男友出差回来说 : “憋死我了，今晚我要把这几天的都补回来。”,1494,56
//pic.qiushibaike.com/system/avtnew/1063/10633497/thumb/20180416103701.JPEG?imageView2/1/w/90/h/90,日邢一珊,34,这关系处理的相当稳。。。,866,23
//pic.qiushibaike.com/system/avtnew/3873/38731785/thumb/2018053113163874.JPEG?imageView2/1/w/90/h/90,忘妄想,25,猫A：“你为什么要把抓到的老鼠撕成碎片？你不觉得这样做很残忍吗？”,237,0
//pic.qiushibaike.com/system/avtnew/3865/38650278/thumb/2018052410382751.JPEG?imageView2/1/w/90/h/90,蓬莱寺朔珑,18,大家睡觉之前都想什么？,248,3
//pic.qiushibaike.com/system/avtnew/1526/15265295/thumb/20150725202420.jpg?imageView2/1/w/90/h/90,小小小小相,25,认识吗？,88,22
//pic.qiushibaike.com/system/avtnew/2470/24703920/thumb/2018070216202736.JPEG?imageView2/1/w/90/h/90,醉酒舞剑砍疯子.,14,下班时间，突降暴雨，我和几个同事在公司门口等出租车，不远处来了一辆白色宝马，下来一个帅哥，打着伞冲我们几个笑！,9239,74
